x,y,a,b,c,d,e,f,g,h,Bisymmetric factors
4,5,1,2,2,1,2,1,1,2,True
4,5,2,1,1,2,1,2,2,1,True
5,7,1,2,2,1,3,1,1,3,True
5,7,1,3,3,1,2,1,1,2,True
5,7,2,1,1,2,1,3,3,1,True
5,7,3,1,1,3,1,2,2,1,True
7,8,1,2,2,1,3,2,2,3,True
7,8,2,1,1,2,2,3,3,2,True
7,8,2,3,3,2,2,1,1,2,True
7,8,3,2,2,3,1,2,2,1,True
7,11,1,2,2,1,5,1,1,5,True
7,11,1,5,5,1,2,1,1,2,True
7,11,2,1,1,2,1,5,5,1,True
7,11,5,1,1,5,1,2,2,1,True
7,13,1,3,3,1,4,1,1,4,True
7,13,1,4,4,1,3,1,1,3,True
7,13,3,1,1,3,1,4,4,1,True
7,13,4,1,1,4,1,3,3,1,True
8,13,1,2,2,1,6,1,1,6,True
8,13,1,6,6,1,2,1,1,2,True
8,13,2,1,1,2,1,6,6,1,True
8,13,6,1,1,6,1,2,2,1,True
8,17,1,4,4,1,4,1,1,4,True
8,17,4,1,1,4,1,4,4,1,True
9,11,1,3,3,1,3,2,2,3,True
9,11,2,3,3,2,3,1,1,3,True
9,11,3,1,1,3,2,3,3,2,True
9,11,3,2,2,3,1,3,3,1,True
9,19,1,3,3,1,6,1,1,6,True
9,19,1,6,6,1,3,1,1,3,True
9,19,3,1,1,3,1,6,6,1,True
9,19,6,1,1,6,1,3,3,1,True
10,11,1,2,2,1,4,3,3,4,True
10,11,2,1,1,2,3,4,4,3,True
10,11,3,4,4,3,2,1,1,2,True
10,11,4,3,3,4,1,2,2,1,True
10,17,1,2,2,1,8,1,1,8,True
10,17,1,8,8,1,2,1,1,2,True
10,17,2,1,1,2,1,8,8,1,True
10,17,8,1,1,8,1,2,2,1,True
11,13,1,2,2,1,5,3,3,5,True
11,13,2,1,1,2,3,5,5,3,True
11,13,3,5,5,3,2,1,1,2,True
11,13,5,3,3,5,1,2,2,1,True
11,14,1,4,4,1,3,2,2,3,True
11,14,2,3,3,2,4,1,1,4,True
11,14,3,2,2,3,1,4,4,1,True
11,14,4,1,1,4,2,3,3,2,True
11,16,1,2,2,1,7,2,2,7,True
11,16,2,1,1,2,2,7,7,2,True
11,16,2,7,7,2,2,1,1,2,True
11,16,7,2,2,7,1,2,2,1,True
11,17,1,3,3,1,5,2,2,5,True
11,17,2,5,5,2,3,1,1,3,True
11,17,3,1,1,3,2,5,5,2,True
11,17,5,2,2,5,1,3,3,1,True
11,19,1,2,2,1,9,1,1,9,True
11,19,1,9,9,1,2,1,1,2,True
11,19,2,1,1,2,1,9,9,1,True
11,19,9,1,1,9,1,2,2,1,True
11,25,1,3,3,1,8,1,1,8,True
11,25,1,8,8,1,3,1,1,3,True
11,25,3,1,1,3,1,8,8,1,True
11,25,8,1,1,8,1,3,3,1,True
11,29,1,4,4,1,7,1,1,7,True
11,29,1,7,7,1,4,1,1,4,True
11,29,4,1,1,4,1,7,7,1,True
11,29,7,1,1,7,1,4,4,1,True
11,31,1,5,5,1,6,1,1,6,True
11,31,1,6,6,1,5,1,1,5,True
11,31,5,1,1,5,1,6,6,1,True
11,31,6,1,1,6,1,5,5,1,True
12,13,2,3,3,2,3,2,2,3,True
12,13,3,2,2,3,2,3,3,2,True
12,37,1,6,6,1,6,1,1,6,True
12,37,6,1,1,6,1,6,6,1,True
13,14,1,2,2,1,5,4,4,5,True
13,14,2,1,1,2,4,5,5,4,True
13,14,4,5,5,4,2,1,1,2,True
13,14,5,4,4,5,1,2,2,1,True
13,15,1,3,3,1,4,3,3,4,True
13,15,3,1,1,3,3,4,4,3,True
13,15,3,4,4,3,3,1,1,3,True
13,15,4,3,3,4,1,3,3,1,True
13,17,1,2,2,1,7,3,3,7,True
13,17,1,5,5,1,3,2,2,3,True
13,17,2,1,1,2,3,7,7,3,True
13,17,2,3,3,2,5,1,1,5,True
13,17,3,2,2,3,1,5,5,1,True
13,17,3,7,7,3,2,1,1,2,True
13,17,5,1,1,5,2,3,3,2,True
13,17,7,3,3,7,1,2,2,1,True
13,20,1,2,2,1,9,2,2,9,True
13,20,2,1,1,2,2,9,9,2,True
13,20,2,9,9,2,2,1,1,2,True
13,20,9,2,2,9,1,2,2,1,True
13,22,1,4,4,1,5,2,2,5,True
13,22,2,5,5,2,4,1,1,4,True
13,22,4,1,1,4,2,5,5,2,True
13,22,5,2,2,5,1,4,4,1,True
13,23,1,2,2,1,11,1,1,11,True
13,23,1,3,3,1,7,2,2,7,True
13,23,1,11,11,1,2,1,1,2,True
13,23,2,1,1,2,1,11,11,1,True
13,23,2,7,7,2,3,1,1,3,True
13,23,3,1,1,3,2,7,7,2,True
13,23,7,2,2,7,1,3,3,1,True
13,23,11,1,1,11,1,2,2,1,True
13,31,1,3,3,1,10,1,1,10,True
13,31,1,10,10,1,3,1,1,3,True
13,31,3,1,1,3,1,10,10,1,True
13,31,10,1,1,10,1,3,3,1,True
